Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0805_2012Metric",80.7500,-74.3500,180.0000,bottom
"C2","100n","C_0805_2012Metric",82.8000,-76.3500,0.0000,bottom
"C3","1n","C_0805_2012Metric",227.1880,-52.7000,180.0000,bottom
"C4","100n","C_0805_2012Metric",78.7500,-76.3500,180.0000,bottom
"C5","47n","C_0805_2012Metric",71.4000,-114.1000,180.0000,bottom
"C6","22u","C_0805_2012Metric",74.7908,-107.7020,0.0000,bottom
"C7","10u","C_0805_2012Metric",71.2500,-107.7020,180.0000,bottom
"C8","1u","C_0805_2012Metric",83.7500,-69.0500,-90.0000,bottom
"C9","4u7","C_0805_2012Metric",68.4500,-113.3000,-90.0000,bottom
"C10","10u","C_0805_2012Metric",72.2500,-118.1700,0.0000,bottom
"C11","100n","C_0805_2012Metric",72.2500,-116.1700,0.0000,bottom
"C12","3n3","C_0805_2012Metric",79.7500,-62.2500,90.0000,bottom
"C13","1u","C_0805_2012Metric",66.2000,-107.9000,90.0000,bottom
"C14","100n","C_0805_2012Metric",73.7500,-76.3500,0.0000,bottom
"C15","22u","C_0805_2012Metric",96.5000,-109.5750,-90.0000,bottom
"C16","47u","C_0805_2012Metric",94.2000,-114.2750,0.0000,bottom
"C17","10u","C_0805_2012Metric",94.2000,-116.2500,0.0000,bottom
"C18","100n","C_0805_2012Metric",146.7000,-131.7500,0.0000,bottom
"C19","100n","C_0805_2012Metric",110.0875,-71.5500,90.0000,bottom
"D11","BAT54C","SOT-23",104.5400,-82.7248,0.0000,bottom
"F1","Fuse","Fuseholder_Littelfuse_Nano2_154x",153.0048,-77.6428,0.0000,bottom
"F2","Fuse","Fuseholder_Littelfuse_Nano2_154x",153.0556,-58.2880,0.0000,bottom
"J1","USBC_USB4105-GF-A","USBC GCT_USB4105-GF-A",232.8540,-55.1480,90.0000,bottom
"JP1","Jumper_3_Bridged12","SolderJumper-3_P1.3mm_Bridged2Bar12_RoundedPad1.0x1.5mm",72.2000,-67.8500,0.0000,bottom
"L1","1uH - DFE252012P-1R0M=P2","L_1008_2520Metric",75.7000,-110.9250,90.0000,bottom
"L2","1uH - DFE252012P-1R0M=P2","L_1008_2520Metric",91.0000,-110.1500,-90.0000,bottom
"NT1","NetTie_2","NetTie-2_SMD_Pad0.5mm",83.2500,-81.8500,0.0000,bottom
"NT2","NetTie_2","NetTie-2_SMD_Pad0.5mm",78.2500,-81.8500,180.0000,bottom
"Q1","BSS83P","SOT-23",70.3125,-62.1000,0.0000,bottom
"Q4","AO3400A","SOT-23-3",98.1875,-84.8750,0.0000,bottom
"Q5","AO3400A","SOT-23-3",98.1875,-80.4250,0.0000,bottom
"R1","100R","R_0805_2012Metric",81.8500,-79.1000,90.0000,bottom
"R2","5k1","R_0805_2012Metric",227.1858,-54.6348,0.0000,bottom
"R3","5k1","R_0805_2012Metric",227.1915,-56.5530,0.0000,bottom
"R4","100R","R_0805_2012Metric",79.6500,-79.1125,90.0000,bottom
"R5","5k1","R_0805_2012Metric",68.4500,-108.6875,90.0000,bottom
"R6","33k","R_0805_2012Metric",50.4125,-108.2500,0.0000,bottom
"R7","2k4","R_0805_2012Metric",66.2000,-111.5125,-90.0000,bottom
"R8","511k","R_0805_2012Metric",94.1875,-112.3250,0.0000,bottom
"R9","91k","R_0805_2012Metric",97.5625,-112.3250,0.0000,bottom
"R10","510R","R_0805_2012Metric",66.0875,-63.1000,0.0000,bottom
"R11","270R","R_0805_2012Metric",75.7500,-62.2625,90.0000,bottom
"R12","1k","R_0805_2012Metric",77.6500,-62.2625,-90.0000,bottom
"R25","330","R_0805_2012Metric",109.3375,-74.3000,180.0000,bottom
"R26","0R01 75PPM","R_2512_6332Metric",80.7500,-84.3500,180.0000,bottom
"R27","2k2","R_0805_2012Metric",105.6750,-77.3750,0.0000,bottom
"R28","1k","R_0805_2012Metric",99.8375,-73.2125,90.0000,bottom
"R29","1k","R_0805_2012Metric",104.3375,-70.3750,0.0000,bottom
"TH1","10k NTC","R_0805_2012Metric",74.8200,-49.3400,0.0000,bottom
"TH2","10k NTC","R_0805_2012Metric",50.4087,-110.8862,0.0000,bottom
"U1","BQ34Z100","TSSOP-14_4.4x5mm_Pitch0.65mm",79.7500,-69.1000,-90.0000,bottom
"U2","BQ25628E","Texas_S-WQFN-HR-18",71.5000,-110.9750,0.0000,bottom
"U3","TPS631000DRLR","SOT-583-8",93.9900,-109.3750,0.0000,bottom
"U4","SN74HC164P","TSSOP-14_4.4x5mm_P0.65mm",147.7000,-126.7500,-90.0000,bottom
"U5","BQ29700DSER","WSON-6_1.5x1.5mm_P0.5mm",104.0125,-74.1250,0.0000,bottom
