Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BT1","BATT","BAT_BK-18650-PC4",185.8100,-62.9000,0.0000,top
"D1","RED","SMD_LED_RIGHT_KINGBRIGHT_1605",131.4500,-121.5750,90.0000,top
"D2","RED","SMD_LED_RIGHT_KINGBRIGHT_1605",131.1250,-120.8000,90.0000,top
"D3","ORANGE","SMD_LED_RIGHT_KINGBRIGHT_1605",131.1250,-123.5500,90.0000,top
"D4","ORANGE","SMD_LED_RIGHT_KINGBRIGHT_1605",131.1250,-126.3000,90.0000,top
"D5","GREEN","SMD_LED_RIGHT_KINGBRIGHT_1605",131.1250,-129.0500,90.0000,top
"D6","GREEN","SMD_LED_RIGHT_KINGBRIGHT_1605",131.1250,-131.8000,90.0000,top
"D7","GREEN","SMD_LED_RIGHT_KINGBRIGHT_1605",131.1250,-134.5500,90.0000,top
"D8","GREEN","SMD_LED_RIGHT_KINGBRIGHT_1605",131.1250,-137.3000,90.0000,top
"D9","ORANGE","SMD_LED_RIGHT_KINGBRIGHT_1605",131.3750,-151.7000,90.0000,top
"D10","GREEN","SMD_LED_RIGHT_KINGBRIGHT_1605",131.2500,-145.7000,90.0000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",240.6460,-161.5000,0.0000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",247.2500,-161.5000,0.0000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",251.3140,-161.3730,0.0000,top
"FID4","Fiducial","Fiducial_1mm_Mask2mm",257.4246,-160.9854,0.0000,top
"H1","M3","MountingHole_3mm",139.8540,-37.3280,0.0000,top
"H2","M3","MountingHole_3mm",232.3540,-89.0780,0.0000,top
"H3","M3","MountingHole_3mm",141.3540,-90.0780,0.0000,top
"H4","M3","MountingHole_3mm",232.6040,-37.3280,0.0000,top
"J2","HEADER_2x03","PinHeader_2x03_P2.54mm_Vertical",181.2400,-145.0000,90.0000,top
"J3","HEADER_1x04","PinHeader_1x04_P2.54mm_Horizontal",173.5700,-142.0000,-90.0000,top
"Q2","BC807-25","SOT-23-3",143.6125,-152.7500,180.0000,top
"Q3","BC807-25","SOT-23-3",141.7500,-146.3000,180.0000,top
"R13","270R","R_0805_2012Metric",133.6250,-118.8500,0.0000,top
"R14","270R","R_0805_2012Metric",133.6250,-121.5000,0.0000,top
"R15","270R","R_0805_2012Metric",133.7875,-124.2500,0.0000,top
"R16","270R","R_0805_2012Metric",133.7125,-127.1000,0.0000,top
"R17","68R","R_0805_2012Metric",133.6250,-129.7500,0.0000,top
"R18","68R","R_0805_2012Metric",133.6250,-132.5000,0.0000,top
"R19","68R","R_0805_2012Metric",133.6250,-135.2500,0.0000,top
"R20","68R","R_0805_2012Metric",133.6250,-138.0000,0.0000,top
"R21","1k","R_0805_2012Metric",147.5000,-153.7000,180.0000,top
"R22","1k","R_0805_2012Metric",145.7500,-147.2000,180.0000,top
"R23","270R","R_0805_2012Metric",136.0875,-151.9500,180.0000,top
"R24","68R","R_0805_2012Metric",135.7500,-145.9500,180.0000,top
"R30","4k7","R_0805_2012Metric",168.4500,-137.5000,90.0000,top
"R31","4k7","R_0805_2012Metric",171.0400,-137.5000,90.0000,top
"SW1","SKRTLAE010","SKRT",157.3250,-141.2900,0.0000,top
